C1,C2,C3,C4,C5,C6
Developed extensive knowledge (Identify) of a significant social science issue.,Summarize the competing theories regarding this social issue.,Apply a specific theoretical framework to explain a recent local event.,Analyze the root causes and systemic factors contributing to this issue.,Assess the effectiveness of current government policies addressing this issue.,Formulate a new policy proposal to mitigate the negative impacts of this social issue.
Recognise family violence presentations in healthcare.,Explain the physiotherapist's role in the referral pathway for family violence.,Conduct a sensitive screening interview using a standard tool.,Analyze the barriers that might prevent a patient from disclosing violence.,Evaluate the safety of a discharge plan for a patient at risk.,Develop a clinic-wide protocol for identifying and managing domestic violence cases.
Identify personal clinical leadership goals.,Explain the difference between clinical management and clinical leadership.,Implement a small leadership initiative within a student placement.,Analyze your own leadership style using a SWOT analysis.,Evaluate your progress against your initial goals after a clinical rotation.,Design a professional development plan to become a clinical leader in 5 years.
Recognise situations where employment law issues arise.,Discuss the relevant statutes that govern commercial employment contracts.,Apply the correct legal principles to resolve a contract dispute scenario.,Distinguish between employees and independent contractors in a complex case.,Arbitrate a dispute by weighing the employer's rights against employee protections.,Draft an employment contract clause that minimizes legal risk for an international firm.
Recognise how personal prejudices impact patient care.,Explain the psychological mechanism of implicit bias in healthcare.,Demonstrate inclusive communication techniques in a role-play scenario.,Analyze a case study to identify where bias led to an adverse clinical outcome.,Critique a hospital’s diversity policy for its practical effectiveness.,Design a training workshop to reduce unconscious bias among healthcare staff.
Identify ethical issues in psychology research.,Explain the principles of the Code of Ethics regarding human subjects.,Apply ethical guidelines to modify a potentially harmful experiment design.,"Distinguish between procedural ethics and ""ethics in practice"" (subtle moments).",Justify a decision to breach confidentiality in a high-risk research scenario.,Write a comprehensive ethics committee application for a sensitive research study.
"Identify facts about the Korean peninsula (language, culture, history).",Discuss the impact of the national division on contemporary Korean identity.,Use cultural knowledge to interpret a specific Korean text or social interaction.,Analyze the linguistic divergence between North and South Korean dialects.,Assess the feasibility of reunification based on current cultural and economic data.,Create a diplomatic briefing document or cultural guide for expats in Korea.
Identify and summarise critical positions in film theory.,"Explain the core arguments of the ""Male Gaze"" or ""Auteur Theory.""",Apply a specific film theory to interpret a scene from a contemporary movie.,Deconstruct a film by comparing how two different theories would view it.,Critique a film review for its lack of theoretical depth.,Formulate a new theoretical perspective on the impact of digital streaming on cinema.
Recognise the breadth of statistical tests.,Explain the difference between parametric and non-parametric tests.,Select and calculate the appropriate statistical test for a given dataset.,"Interpret the output (p-values, confidence intervals) in the context of the hypothesis.",Evaluate the statistical power and validity of a published research paper.,"Design the statistical analysis plan for a complex, multi-variable experiment."
Recognise modifications to routine ultrasound scanning.,Explain the physics behind why standard approaches fail in these specific cases.,Perform a modified scanning technique on a simulation or model.,Analyze an ultrasound image to differentiate between pathology and artifact.,Justify the decision to refer a patient for MRI instead of continuing with ultrasound.,Develop a standard operating procedure for scanning patients with limited mobility.
Identify the sociohistorical context for these changes.,Explain how specific historical events triggered social shifts.,Apply historical context to interpret the meaning of a primary source document.,Correlate economic downturns with changes in social behavior over a decade.,Argue whether social or economic factors were more influential in this change.,Construct a historical narrative linking past sociohistorical contexts to present day issues.
Identify community-based resources for educational sustainability.,Describe the role of community partnerships in modern education.,Utilize a local community resource to deliver a specific lesson plan.,Analyze the gap between school curriculum and community needs.,Evaluate the long-term sustainability of a specific school-community partnership.,Design a community-based educational program that addresses a local sustainability issue.
Identify the influence of media in lives.,"Explain the concept of ""media framing"" and ""agenda setting.""",Examine your own media consumption to identify echo chambers.,Analyze how a news story is biased by the commercial interests of the platform.,Evaluate the impact of social media algorithms on teenage mental health.,Create a media campaign strategy to positively influence public behavior.
Identify common hazards and exposure techniques in environment.,Explain the pathways of exposure for waterborne and airborne contaminants.,Calculate the risk score of a specific site using a risk matrix.,Compare the toxicity levels of different agents found in a sample.,Evaluate the adequacy of current safety equipment for a specific hazard.,Develop a comprehensive risk management and remediation plan for a contaminated site.
Recognise market-driven principles to physiotherapy practice.,"Explain the concepts of supply, demand, and ROI in private practice.",Apply marketing strategies to attract a specific patient demographic.,Analyze the profitability of a specific therapeutic service.,Weigh the ethical implications of profit-driven models against patient care quality.,Formulate a business plan for a new physiotherapy clinic in a competitive market.
Knowledge (Identify) of methodological approaches.,Describe the strengths and weaknesses of qualitative vs. quantitative methods.,"Apply a specific method (e.g., survey or interview) to gather pilot data.",Contrast the results yielded by two different methodological approaches.,Justify the selection of a specific methodology for a sensitive research topic.,Design a mixed-methods research framework to investigate a complex phenomenon.
Identify major forces governing workplace relations.,Explain the role of unions and the Fair Work Commission in Australia.,Apply the terms of an Enterprise Agreement to a wage dispute.,Analyze how power dynamics in the workplace have shifted over the last decade.,Assess the fairness of a specific workplace negotiation outcome.,Negotiate and draft a new Enterprise Bargaining Agreement for a specific sector.
